street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,is_zero_area,is_outlier_price
3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Residential,20080521,59222,38.631913,-121.434879,0,0
51 OMAHA CT,SACRAMENTO,95823,CA,3,1,1167,Residential,20080521,68212,38.478902,-121.431028,0,0
2796 BRANCH ST,SACRAMENTO,95815,CA,2,1,796,Residential,20080521,68880,38.618305,-121.443839,0,0
2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,852,Residential,20080521,69307,38.616835,-121.439146,0,0
6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,797,Residential,20080521,81900,38.51947,-121.435768,0,0
5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,1122,Condo,20080521,89921,38.662595,-121.327813,0,0
6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,1104,Residential,20080521,90895,38.681659,-121.351705,0,0
2561 19TH AVE,SACRAMENTO,95820,CA,3,1,1177,Residential,20080521,91002,38.535092,-121.481367,0,0
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2,941,Condo,20080521,94905,38.621188,-121.270555,0,0
7325 10TH ST,RIO LINDA,95673,CA,3,2,1146,Residential,20080521,98937,38.700909,-121.442979,0,0
645 MORRISON AVE,SACRAMENTO,95838,CA,3,2,909,Residential,20080521,100309,38.637663,-121.45152,0,0
4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,1289,Residential,20080521,106250,38.470746,-121.458918,0,0
2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,871,Residential,20080521,106852,38.618698,-121.435833,0,0
2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,1020,Residential,20080521,107502,38.482215,-121.492603,0,0
4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,1022,Residential,20080521,108750,38.672914,-121.35934,0,0
7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,1134,Condo,20080521,110700,38.700051,-121.351278,0,0
6715 6TH ST,RIO LINDA,95673,CA,2,1,844,Residential,20080521,113263,38.689591,-121.452239,0,0
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,20080521,116250,38.679776,-121.314089,0,0
250 PERALTA AVE,SACRAMENTO,95833,CA,2,1,588,Residential,20080521,120000,38.612099,-121.469095,0,0
113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,1356,Residential,20080521,121630,38.689999,-121.46322,0,0
6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,1118,Residential,20080521,122000,38.707851,-121.320707,0,0
4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,1329,Residential,20080521,122682,38.468173,-121.444071,0,0
7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,1240,Residential,20080521,123000,38.702792,-121.38221,0,0
9 PASTURE CT,SACRAMENTO,95834,CA,3,2,1601,Residential,20080521,124100,38.628631,-121.488097,0,0
